Class Name,Class Id,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Coupling Between Objects,Fan In,Number of Children,Percentage of Pub Data,Response for Class,Weighted Methods,Defected?(false/true) 
.HashingTokenizer,4,23,1.33,0.77,10,8,0.0,6,18,0,35,49,21,17,14.29,84,0.07,1.57,0.09,0.11,0.78,2,0,0,0.0,5,5,false
.HashingTokenizer.TokenizerEndException,5,2,0.0,1.0,0,0,2.5,0,2,5,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,false
.HashingTokenizer.SoftwareMetrics,13,13,0.0,1.0,0,0,3.31,0,13,43,18,18,14,4,2.56,36,0.39,1.25,0.07,0.49,1.0,3,0,0,0.0,4,4,false
.HashingTokenizer.Token,20,16,3.0,0.93,1,3,5.31,1,15,85,13,18,7,8,7.69,31,0.13,1.15,0.06,0.15,0.94,1,1,0,0.0,4,4,false
.HashingTokenizer.Token.TokenBuilder,21,20,2.0,0.95,1,2,1.8,1,19,36,23,23,10,6,7.14,46,0.14,1.21,0.07,0.17,0.95,0,1,0,0.0,4,4,false
.HashingTokenizer.TokenCluster,32,10,3.0,0.67,2,6,0.0,2,7,0,6,13,6,8,4.0,19,0.25,1.16,0.06,0.29,0.7,1,1,0,0.0,2,2,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder,35,5,0.0,1.0,0,0,0.0,0,5,0,3,2,3,2,1.0,5,1.0,0.7,0.04,0.7,1.0,0,1,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable,38,11,0.0,1.0,0,0,0.0,0,11,0,3,2,3,1,0.5,5,2.0,0.6,0.03,1.2,1.0,0,2,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.TokenHashingStrategy,41,4,0.0,1.0,0,0,5.0,0,4,20,5,9,4,5,3.12,14,0.32,0.97,0.05,0.31,1.0,1,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.TokenTest,45,2,0.0,1.0,0,0,2.0,0,2,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuModel,49,6,0.0,1.0,0,0,2.5,0,6,15,3,3,2,3,2.27,6,0.44,0.7,0.04,0.31,1.0,1,2,0,0.0,2,2,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter,53,5,0.0,1.0,0,0,0.0,0,5,0,3,3,3,2,1.0,6,1.0,0.7,0.04,0.7,1.0,3,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.CorrelationMatrixMenuService,56,0,0.0,1.0,0,0,0.0,0,0,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.CorrelationMatrixMenuView,58,0,0.0,1.0,0,0,0.0,0,0,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuModel,61,10,0.0,1.0,0,0,2.6,0,10,26,5,6,3,3,2.5,11,0.4,0.78,0.04,0.31,1.0,1,1,0,0.0,4,4,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter,67,18,0.0,1.0,0,0,0.0,0,18,0,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,4,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService,70,6,0.0,1.0,0,0,0.0,0,6,0,7,8,7,4,2.0,15,0.5,1.04,0.06,0.52,1.0,2,2,0,0.0,2,2,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.MultiProjectMenuServiceTest,74,3,0.0,1.0,0,1,3.33,0,3,10,3,3,3,3,1.49,6,0.67,0.77,0.04,0.52,1.0,1,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.MultiProjectMenuView,77,0,0.0,1.0,0,0,0.0,0,0,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel,79,1,0.0,0.0,0,0,0.0,0,1,0,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,1,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomColorOperations,82,4,0.0,1.0,0,0,2.25,0,4,9,0,1,0,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations,86,5,0.0,0.75,1,0,0.0,0,4,0,2,4,1,3,3.03,6,0.33,0.61,0.03,0.2,0.8,0,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage,91,15,0.0,1.0,0,0,0.0,0,15,0,8,7,4,3,3.03,15,0.33,0.85,0.05,0.28,1.0,0,2,0,0.0,5,5,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGenerator,99,5,0.0,1.0,0,0,3.8,0,5,19,9,4,4,2,2.27,13,0.44,0.77,0.04,0.34,1.0,0,2,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest,103,6,0.0,1.0,0,0,0.0,0,6,0,8,5,5,2,1.61,13,0.62,0.84,0.05,0.52,1.0,0,0,0,0.0,3,3,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter,108,17,1.0,0.94,1,1,0.0,1,16,0,24,16,17,6,4.17,40,0.24,1.38,0.08,0.33,0.94,5,6,0,62.5,2,2,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder,112,2,0.0,1.0,0,0,0.0,0,2,0,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,1,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.Project,114,11,0.0,1.0,0,0,2.64,0,11,29,11,12,6,3,2.78,23,0.36,0.95,0.05,0.34,1.0,1,3,0,0.0,3,3,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectBuilder,120,24,2.0,0.96,1,2,1.46,1,23,35,19,21,7,5,6.67,40,0.15,1.07,0.06,0.16,0.96,1,2,0,0.0,4,4,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor,127,7,0.0,1.0,0,0,0.0,0,7,0,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,2,2,0,0.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor.ProjectFlatReaderDistributorTest,131,6,0.0,1.0,0,1,3.5,0,6,21,4,4,4,3,1.49,8,0.67,0.85,0.05,0.57,1.0,1,0,0,0.0,3,3,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor.Projects,136,6,0.0,0.8,1,0,2.17,0,5,13,1,4,1,3,1.49,5,0.67,0.6,0.03,0.4,0.83,0,0,0,0.0,1,1,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor.ProjectsTest,140,7,0.0,0.83,0,3,3.29,0,6,23,24,19,14,6,5.26,43,0.19,1.31,0.07,0.25,0.86,3,0,0,0.0,3,3,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor.TestObjects,145,4,0.0,1.0,0,0,1.5,0,4,6,10,7,6,2,1.67,17,0.6,0.9,0.05,0.54,1.0,0,0,0,100.0,0,0,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor.ProjectsCorrelationMatrix,150,9,0.0,1.0,0,0,0.0,0,9,0,4,5,2,3,3.03,9,0.33,0.7,0.04,0.23,1.0,0,3,0,0.0,3,3,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor.ProjectsCorrelationMatrix.SimpleMultiProjectComparison,156,10,0.0,1.0,0,0,0.0,0,10,0,6,5,2,3,4.55,11,0.22,0.68,0.04,0.15,1.0,0,2,0,0.0,2,2,false
.HashingTokenizer.TokenCluster.TokenClusterBuilder.TokenClusterOccurrenceTable.CorrelationMatrixMenuPresenter.MultiProjectMenuPresenter.MultiProjectMenuService.SeparateProjectMenuModel.CustomFXMLOperations.MultiProjectStorage.MultiStreamReaderGeneratorTest.PathFilter.PathFilterBuilder.ProjectFlatReaderDistributor.ProjectsCorrelationMatrix.SimpleMultiProjectComparison.SimpleMultiProjectComparisonTest,161,6,1.0,0.6,2,2,4.0,2,4,24,8,8,7,3,1.72,16,0.58,1.0,0.06,0.58,0.67,3,0,0,0.0,2,2,false
